update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,7.31,170193.3,0,418,0,3.798
9,0,1,29.18,0.0,0,404,0,0.0
9,0,2,26.27,3112281.0,398,0,0,3.985
9,0,3,19.12,3216249.0,405,0,0,3.995
9,0,4,15.72,57571.6,0,399,2,3.792
9,0,5,15.24,3398298.0,417,0,0,3.992
9,0,6,31.03,29984.1,0,404,1,3.812
9,0,7,39.17,3511628.0,427,0,0,3.987
9,0,8,35.65,489964.0,22,396,0,3.778
9,0,9,14.73,3234508.0,413,3,0,3.974
9,0,10,34.02,22748.6,0,411,3,3.798
9,0,11,10.86,3338739.5,412,0,0,3.988
9,0,12,13.55,2948982.0,371,0,0,3.998
9,0,13,19.72,351219.1,8,359,0,3.777
9,0,14,30.6,3265358.5,405,1,0,3.995
9,0,15,28.59,3009347.0,378,0,0,3.955
9,0,16,28.24,0.0,0,415,0,0.0
9,0,17,31.34,3186676.3,385,14,0,3.916
9,0,18,36.47,3191098.0,402,0,0,3.94
9,0,19,5.84,5415.6,0,412,0,3.888
9,0,20,17.27,3146635.0,406,0,0,3.999
9,0,21,22.59,3528931.8,439,7,0,3.962
9,0,22,29.89,59239.1,0,404,3,3.842
9,0,23,15.03,40840.1,0,402,0,3.812
9,0,24,29.93,0.0,0,0,0,0.0
9,0,25,15.88,0.0,0,0,0,0.0
9,0,26,12.33,0.0,0,0,0,0.0
9,0,27,23.22,0.0,0,0,0,0.0
9,0,28,22.59,0.0,0,0,0,0.0
9,0,29,18.02,0.0,0,0,0,0.0
9,0,30,31.52,0.0,0,0,0,0.0
9,0,31,35.22,0.0,0,0,0,0.0
9,1,0,20.0,73267.2,1,325,0,3.994
9,1,1,22.2,2667584.0,332,0,0,4.0
9,1,2,24.66,289254.6,17,338,0,3.99
9,1,3,21.54,2675092.0,331,0,0,4.0
9,1,4,33.76,4616.7,0,365,1,4.0
9,1,5,23.71,2782099.0,352,0,0,4.0
9,1,6,10.08,2093420.1,255,66,0,3.998
9,1,7,5.47,2817594.8,352,1,0,4.0
9,1,8,9.6,2942554.0,368,0,0,4.0
9,1,9,21.73,69911.2,0,368,0,3.998
9,1,10,5.31,2744429.0,343,0,0,4.0
9,1,11,36.07,2659247.0,334,0,0,4.0
9,1,12,20.46,3025.0,0,328,0,4.0
9,1,13,34.32,2723172.5,330,9,1,3.998
9,1,14,8.58,2879561.0,353,0,0,4.0
9,1,15,13.3,2267189.6,280,46,0,3.999
9,1,16,27.7,2658893.0,325,0,0,4.0
9,1,17,12.23,2912538.0,361,0,0,3.999
9,1,18,16.83,1729896.8,182,152,0,3.997
9,1,19,38.02,348834.4,23,317,0,3.992
9,1,20,37.85,2787150.0,343,0,0,3.999
9,1,21,8.07,1985190.7,235,98,0,4.0
9,1,22,27.42,2514090.7,311,8,0,3.999
9,1,23,29.83,802738.5,78,254,0,3.997
9,1,24,36.07,19093.5,0,385,0,3.995
9,1,25,17.54,254723.6,12,353,0,3.993
9,1,26,27.33,2992612.0,376,0,0,4.0
9,1,27,37.84,0.0,0,0,0,0.0
9,1,28,36.11,0.0,0,0,0,0.0
9,1,29,28.09,0.0,0,0,0,0.0
9,1,30,27.63,0.0,0,0,0,0.0
9,1,31,24.51,0.0,0,0,0,0.0
9,2,0,7.74,931.5,0,231,0,3.966
9,2,1,8.87,1710385.9,212,8,0,3.99
9,2,2,26.78,288490.2,20,217,0,3.933
9,2,3,17.07,1645906.0,203,0,0,4.0
9,2,4,20.49,1732449.0,219,0,0,4.0
9,2,5,18.4,130.5,0,219,0,4.0
9,2,6,16.21,1996985.0,243,0,0,4.0
9,2,7,28.9,1623120.8,199,21,0,3.99
9,2,8,15.49,1289049.8,159,67,0,3.988
9,2,9,34.34,416613.5,36,213,0,3.936
9,2,10,38.11,1774462.0,219,3,0,3.995
9,2,11,16.92,214071.5,12,206,0,3.958
9,2,12,10.26,1835399.0,231,0,0,3.996
9,2,13,21.54,1948408.1,242,13,0,3.994
9,2,14,19.74,1812521.5,228,7,0,3.988
9,2,15,32.07,1791641.4,227,27,0,3.988
9,2,16,36.08,1909727.0,229,0,0,4.0
9,2,17,28.98,1659312.0,215,0,0,3.999
9,2,18,8.04,1859217.0,231,0,0,4.0
9,2,19,33.29,1792339.9,220,14,0,3.991
9,2,20,17.79,27762.1,0,239,0,3.959
9,2,21,16.53,1621011.9,196,14,0,3.994
9,2,22,23.07,1707571.0,213,0,0,3.998
9,2,23,23.06,1667660.0,213,0,0,3.994
9,2,24,30.02,711101.9,69,162,0,3.971
9,2,25,18.79,22222.1,0,212,0,3.966
9,2,26,16.66,1683873.7,193,40,0,3.993
9,2,27,27.9,1594050.0,201,0,0,4.0
9,2,28,14.65,1116796.5,133,105,0,3.976
9,2,29,36.0,1660723.5,210,1,0,4.0
9,2,30,34.95,0.0,0,0,0,0.0
9,2,31,15.56,0.0,0,0,0,0.0
19,0,0,7.31,160566.4,0,418,0,3.965
19,0,1,29.18,0.0,0,404,0,0.0
19,0,2,26.27,3112281.0,398,0,0,3.998
19,0,3,19.12,3216249.0,405,0,0,4.0
19,0,4,15.72,61349.3,0,399,2,3.977
19,0,5,15.24,3398298.0,417,0,0,3.999
19,0,6,31.03,33099.4,0,404,1,3.977
19,0,7,39.17,3511628.0,427,0,0,3.998
19,0,8,35.65,432340.3,17,401,0,3.966
19,0,9,14.73,3248336.0,414,2,0,3.998
19,0,10,34.02,22832.9,0,410,4,3.975
19,0,11,10.86,3338739.5,412,0,0,3.999
19,0,12,13.55,2948982.0,371,0,0,3.999
19,0,13,19.72,334529.5,5,362,0,3.96
19,0,14,30.6,3276533.0,407,0,0,3.999
19,0,15,28.59,3009347.0,378,0,0,3.997
19,0,16,28.24,0.0,0,415,0,0.0
19,0,17,31.34,3175807.9,386,12,0,3.995
19,0,18,36.47,3189602.6,401,1,0,3.996
19,0,19,5.84,7792.9,0,412,0,3.987
19,0,20,17.27,3141710.9,405,0,0,4.0
19,0,21,22.59,3521150.7,437,8,0,3.998
19,0,22,29.89,59450.8,0,404,3,3.983
19,0,23,15.03,45143.4,0,402,0,3.968
19,0,24,29.93,0.0,0,0,0,0.0
