update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,7.31,147866.9,1,417,0,3.939
9,0,1,29.18,4799.8,0,404,0,3.927
9,0,2,26.27,3112281.0,398,0,0,3.994
9,0,3,19.12,3209769.2,404,1,0,3.996
9,0,4,15.72,47594.8,0,401,0,3.95
9,0,5,15.24,3398298.0,417,0,0,3.999
9,0,6,31.03,27322.3,0,405,0,3.936
9,0,7,39.17,3511628.0,427,0,0,3.999
9,0,8,35.65,475109.7,21,397,0,3.942
9,0,9,14.73,3257852.5,415,1,0,3.982
9,0,10,34.02,21611.9,0,414,0,3.89
9,0,11,10.86,3341192.3,412,1,0,3.993
9,0,12,13.55,2948982.0,371,0,0,3.996
9,0,13,19.72,333205.1,7,360,0,3.921
9,0,14,30.6,3237132.9,401,5,0,3.998
9,0,15,28.59,3009347.0,378,0,0,3.981
9,0,16,28.24,360.1,0,415,0,4.0
9,0,17,31.34,3188497.3,382,16,0,3.956
9,0,18,36.47,3183002.3,400,2,0,3.969
9,0,19,5.84,17309.7,0,412,0,3.921
9,0,20,17.27,3141777.8,405,0,0,4.0
9,0,21,22.59,3560085.7,443,4,0,3.985
9,0,22,29.89,40925.0,0,407,0,3.959
9,0,23,15.03,36059.6,0,402,0,3.911
9,0,24,29.93,0.0,0,0,0,0.0
9,0,25,15.88,0.0,0,0,0,0.0
9,0,26,12.33,0.0,0,0,0,0.0
9,0,27,23.22,0.0,0,0,0,0.0
9,0,28,22.59,0.0,0,0,0,0.0
9,0,29,18.02,0.0,0,0,0,0.0
9,0,30,31.52,0.0,0,0,0,0.0
9,0,31,35.22,0.0,0,0,0,0.0
9,1,0,20.0,48586.5,0,326,0,4.0
9,1,1,22.2,2662558.0,331,0,0,4.0
9,1,2,24.66,187841.6,8,347,0,4.0
9,1,3,21.54,2675092.0,331,0,0,4.0
9,1,4,33.76,1338.6,0,366,0,4.0
9,1,5,23.71,2782099.0,352,0,0,4.0
9,1,6,10.08,2106982.6,251,70,0,4.0
9,1,7,5.47,2818697.0,353,0,0,4.0
9,1,8,9.6,2942554.0,368,0,0,4.0
9,1,9,21.73,51661.3,0,368,0,4.0
9,1,10,5.31,2744429.0,343,0,0,4.0
9,1,11,36.07,2659247.0,334,0,0,4.0
9,1,12,20.46,3968.5,0,328,0,4.0
9,1,13,34.32,2729091.4,329,10,0,4.0
9,1,14,8.58,2879561.0,353,0,0,4.0
9,1,15,13.3,2292680.4,283,43,0,4.0
9,1,16,27.7,2658893.0,325,0,0,4.0
9,1,17,12.23,2912538.0,361,0,0,4.0
9,1,18,16.83,1559857.8,154,180,0,4.0
9,1,19,38.02,291736.9,17,323,0,4.0
9,1,20,37.85,2787150.0,343,0,0,4.0
9,1,21,8.07,1768235.6,202,131,0,4.0
9,1,22,27.42,2535229.8,315,4,0,4.0
9,1,23,29.83,685815.9,61,271,0,4.0
9,1,24,36.07,7733.9,0,385,0,4.0
9,1,25,17.54,234032.1,12,353,0,4.0
9,1,26,27.33,2992612.0,376,0,0,4.0
9,1,27,37.84,0.0,0,0,0,0.0
9,1,28,36.11,0.0,0,0,0,0.0
9,1,29,28.09,0.0,0,0,0,0.0
9,1,30,27.63,0.0,0,0,0,0.0
9,1,31,24.51,0.0,0,0,0,0.0
9,2,0,7.74,2825.6,0,231,0,3.959
9,2,1,8.87,1738765.5,215,4,0,4.0
9,2,2,26.78,187130.1,13,224,0,3.999
9,2,3,17.07,1645906.0,203,0,0,4.0
9,2,4,20.49,1732449.0,219,0,0,4.0
9,2,5,18.4,2444.5,0,219,0,4.0
9,2,6,16.21,1996985.0,243,0,0,4.0
9,2,7,28.9,1580592.6,193,27,0,4.0
9,2,8,15.49,1305945.5,155,71,0,4.0
9,2,9,34.34,365157.9,29,220,0,4.0
9,2,10,38.11,1779784.3,220,2,0,4.0
9,2,11,16.92,175018.7,7,211,0,4.0
9,2,12,10.26,1835399.0,231,0,0,4.0
9,2,13,21.54,1996594.4,246,9,0,4.0
9,2,14,19.74,1850286.2,232,3,0,4.0
9,2,15,32.07,1808631.4,224,30,0,4.0
9,2,16,36.08,1909727.0,229,0,0,4.0
9,2,17,28.98,1659312.0,215,0,0,4.0
9,2,18,8.04,1859217.0,231,0,0,4.0
9,2,19,33.29,1782048.5,219,15,0,4.0
9,2,20,17.79,15762.6,0,239,0,4.0
9,2,21,16.53,1633139.1,197,13,0,3.996
9,2,22,23.07,1707571.0,213,0,0,4.0
9,2,23,23.06,1667660.0,213,0,0,4.0
9,2,24,30.02,536538.1,49,182,0,3.999
9,2,25,18.79,11514.6,0,212,0,4.0
9,2,26,16.66,1573668.9,175,58,0,4.0
9,2,27,27.9,1594050.0,201,0,0,4.0
9,2,28,14.65,992139.8,101,137,0,4.0
9,2,29,36.0,1668625.3,210,1,0,4.0
9,2,30,34.95,0.0,0,0,0,0.0
9,2,31,15.56,0.0,0,0,0,0.0
19,0,0,7.31,133779.8,1,417,0,3.904
19,0,1,29.18,4513.5,0,404,0,3.878
19,0,2,26.27,3112281.0,398,0,0,3.983
19,0,3,19.12,3209776.7,404,1,0,3.995
19,0,4,15.72,50180.6,0,401,0,3.887
19,0,5,15.24,3398298.0,417,0,0,3.994
19,0,6,31.03,30639.8,0,405,0,3.851
19,0,7,39.17,3511628.0,427,0,0,3.996
19,0,8,35.65,406030.9,23,395,0,3.908
19,0,9,14.73,3255793.3,414,2,0,3.966
19,0,10,34.02,24027.7,0,414,0,3.866
19,0,11,10.86,3336915.0,412,1,0,3.981
19,0,12,13.55,2948982.0,371,0,0,3.997
19,0,13,19.72,318080.9,9,358,0,3.879
19,0,14,30.6,3224931.0,399,7,0,3.998
19,0,15,28.59,3009347.0,378,0,0,3.973
