update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,2316.8367082010964,72.30546282790787,0.5323899779306763,0.4626768791379982,0.00012981955082435416,0,18.345291526646378,0.8575429367024466,0.6739358474812653,7703,20,22.801007118915855,3.790116979257717,2.9136795903438184,8.0,29.398,0.0,0.38654096829344864,0.9870811177331287,1.012006432017152,0.01216244800112811,65.037166,583,602,0.96843853820598,1131,1142,0.9903677758318739,1712,1742,0.9827784156142365,24233,24535,0.9876910535969023
1,3946.2375094884164,72.36888258177522,0.5991310644460536,0.39724837074583635,0.000724112961622013,0,12.538015254302195,0.8470221528221535,0.7051391115136341,6905,22,25.31798011463565,3.7707179749064452,2.495044718394972,6.0,22.946,0.0,0.31590725608456316,0.9771557858628618,1.0198226586545507,0.02167083184576937,66.431946,607,635,0.9559055118110236,1191,1229,0.9690805532953621,1919,1968,0.9751016260162602,23060,23571,0.9783208179542658
2,-1586.3012876514367,65.96432089334282,0.40996483001172335,0.5858147713950762,0.0007033997655334115,0,14.514352890527832,0.8648336475676387,0.6035556861634245,8530,28,23.209089507495477,3.8749903106797037,3.4132113239919932,8.0,39.04,0.0,0.3063399523001814,0.9821593671883025,1.0165808444902162,0.017759241196057988,54.775188,339,358,0.946927374301676,731,739,0.9891745602165088,1040,1063,0.9783631232361242,26572,27043,0.9825832932736752
3,-3833.695368641668,81.92727834861059,0.37125120223834923,0.623939844364781,8.74355163067238e-05,0,12.861021696779373,0.8836854612250045,0.610264784978754,11437,30,23.550160275288928,3.8940440510082284,4.305699481865285,9.0,57.42,0.00026223776223776224,0.38311641507095484,0.9885188666577145,1.0096564718549175,0.010201030071440438,66.262574,308,317,0.9716088328075709,564,575,0.9808695652173913,987,1005,0.982089552238806,27587,27891,0.98910042666093
4,4171.040561519025,63.866832239339274,0.6346522572773227,0.362558828656092,0.0005229213874847481,0,14.284806393668195,0.8620950049712292,0.8089768186259397,5737,18,22.905509706736346,3.7240273872676632,2.847569349079923,8.0,18.658,0.0,0.31912176118933583,0.9841140529531568,1.0153868970375588,0.015852769679300292,56.981,660,684,0.9649122807017544,1546,1571,0.9840865690642903,2287,2319,0.9862009486847779,22083,22431,0.9844857563193794
5,3905.1479399408277,62.34004566557812,0.6248895174120559,0.37016086264804665,0.00017677214071062401,0,8.879073038106512,0.8508386009206991,0.7631955180071525,5657,20,22.58204635398741,3.722356151820157,2.5142857142857142,7.0,18.021,0.0,0.2841357358532791,0.9770402449040544,1.0216048227056578,0.021909004600890965,56.221078,649,684,0.9488304093567251,1506,1543,0.9760207388204796,2390,2434,0.9819227608874281,21626,22125,0.9774463276836158
6,3426.0712009604413,59.68346156856263,0.6073410922112802,0.38961504028648164,0.0,0,8.556449169043862,0.8597390435326607,0.7583960859012162,5585,16,25.203146340117208,3.7583562396021817,2.7830188679245285,7.0,18.952,0.0,0.34766762706575505,0.9881168689584999,1.0107057024251693,0.011139859134684491,53.718988,652,672,0.9702380952380952,1324,1340,0.9880597014925373,2107,2136,0.9864232209737828,23108,23370,0.9887890457851947
7,-4462.153844816814,58.355507959158956,0.33385127635960044,0.6608213096559379,0.0,0,5.495608677377939,0.8570254622989834,0.5665653488473062,9010,21,21.584996818904756,3.8703681989227356,4.382313829787234,9.0,46.053,0.00044375416019525185,0.4292821228968472,0.9856359985023316,1.0115770780684379,0.01193919418847111,46.243104,326,341,0.9560117302052786,758,773,0.9805950840879689,1184,1204,0.9833887043189369,26689,27061,0.9862532796275082
8,2621.216804306871,57.6129490620605,0.5693392070484582,0.426079295154185,0.0003524229074889868,0,7.378077167312094,0.8743970817500154,0.6961908929917265,5675,30,24.18342415539555,3.8086272581196616,2.994119467657072,7.0,20.874,0.0,0.1910980226633026,0.9894840502233321,1.009545950896474,0.010234274376022557,51.331878,493,515,0.9572815533980582,1072,1082,0.9907578558225508,1610,1627,0.9895513214505224,24959,25209,0.99008290689833
9,4844.981309069785,74.91262158261262,0.6317852834740652,0.36504825090470444,0.00030156815440289503,0,12.959039154317846,0.8723841568437979,0.8206250720254542,6632,25,24.494099188277183,3.826741240874171,2.748448687350835,8.0,21.657,0.0,0.26469972660188823,0.9804958910873629,1.0184890585781454,0.018961281616553062,65.9602,459,477,0.9622641509433962,987,1012,0.9752964426877471,1457,1489,0.9785090664875755,24897,25375,0.9811625615763547
